#,Player,Position,Date of birth/Age,Nat.,Current club,Height,Foot,Joined,Signed from,Market value
-,Reece Hall,Right-Back,25/09/2003 (21),England,Kidderminster Harriers,-,right,,,-
-,Deago Nelson,Right-Back,05/12/2005 (19),England,West Bromwich Albion U21,-,,,,-
-,Uros Racic,Defensive Midfield,17/03/1998 (27),Serbia,Aris Thessaloniki,"1,93m",both,22/08/2024,US Sassuolo,€3.50m
17,Ousmane Diakité,Defensive Midfield,25/07/2000 (24),Mali,West Bromwich Albion,"1,89m",right,01/07/2024,TSV Hartberg,€700k
-,Matt Richards,Defensive Midfield,07/10/2004 (20),England,Hereford FC,-,right,,,-
-,Iddrisa Dauda Amihere,Defensive Midfield,08/01/2008 (17),Italy England,West Bromwich Albion U18,"1,78m",right,,,-
8,Jayson Molumby,Central Midfield,06/08/1999 (25),Ireland,West Bromwich Albion,"1,76m",right,01/07/2022,Brighton & Hove Albion U21,€3.00m
21,Isaac Price,Central Midfield,26/09/2003 (21),Northern Ireland England,West Bromwich Albion,"1,88m",right,22/01/2025,Standard Liège,€3.00m
27,Alex Mowatt,Central Midfield,13/02/1995 (30),England Scotland,West Bromwich Albion,"1,77m",left,02/07/2021,Barnsley FC,€2.80m
-,Harry Whitwell,Central Midfield,16/11/2005 (19),England,Forest Green Rovers ,-,,,,€75k
-,Kevin Mfuamba,Central Midfield,25/08/2006 (18),England,West Bromwich Albion U21,"1,91m",,,,-
-,Cole Deeming,Central Midfield,19/01/2007 (18),England,Truro City FC,"1,85m",left,,,-
31,Tom Fellows,Right Midfield,25/07/2003 (21),England,Southampton FC,"1,83m",right,01/07/2023,West Bromwich Albion U21,€10.00m
10,John Swift,Attacking Midfield,23/06/1995 (30),England,Portsmouth FC,"1,82m",right,01/07/2022,Reading FC,€2.80m
-,Fenton Heard,Attacking Midfield,01/10/2004 (20),England,Rushall Olympic,"1,71m",right,,,-
-,Oliver Bostock,Attacking Midfield,20/02/2007 (18),Wales England,West Bromwich Albion U21,-,right,,,-
22,Mikey Johnston,Left Winger,19/04/1999 (26),Ireland Scotland,West Bromwich Albion,"1,76m",right,30/08/2024,Celtic FC,€3.00m
-,Lewis Dobbin,Left Winger,03/01/2003 (22),England,Preston North End,"1,75m",right,06/08/2024,Aston Villa,€2.50m
11,Grady Diangana,Right Winger,19/04/1998 (27),DR Congo England,Elche CF,"1,80m",left,04/09/2020,West Ham United,€3.50m
7,Jed Wallace,Right Winger,29/03/1994 (31),England,West Bromwich Albion,"1,78m",right,01/07/2022,Millwall FC,€1.80m
-,Adam Armstrong,Centre-Forward,10/02/1997 (28),England,Southampton FC,"1,73m",right,03/02/2025,Southampton FC,€12.00m
9,Josh Maja,Centre-Forward,27/12/1998 (26),Nigeria England,West Bromwich Albion,"1,81m",right,01/08/2023,FC Girondins Bordeaux,€10.00m
18,Karlan Grant,Centre-Forward,18/09/1997 (27),England Scotland,West Bromwich Albion,"1,83m",right,15/10/2020,Huddersfield Town,€3.80m
-,Will Lankshear,Centre-Forward,20/04/2005 (20),England,Oxford United,"1,89m",right,31/01/2025,Tottenham Hotspur U21,€3.00m
12,Daryl Dike,Centre-Forward,03/06/2000 (25),United States Nigeria,West Bromwich Albion,"1,87m",right,01/01/2022,Orlando City SC,€2.80m
44,Devante Cole,Centre-Forward,10/05/1995 (30),Jamaica England,Port Vale FC,"1,84m",right,31/07/2024,Barnsley FC,€600k
-,Mo Faal,Centre-Forward,11/02/2003 (22),The Gambia England,Port Vale FC,"1,96m",right,,,€400k
26,Tammer Bany,Centre-Forward,19/10/2003 (21),Jordan Denmark,West Bromwich Albion,"1,81m",right,03/02/2025,Randers FC,€250k
-,Reyes Cleary,Centre-Forward,13/04/2004 (21),England,Barnsley FC,"1,85m",right,,,-
-,Eseosa Sule,Centre-Forward,01/04/2006 (19),Nigeria Scotland,Motherwell FC,-,,,,-
