#,Player,Position,Date of birth/Age,Nat.,Current club,Height,Foot,Joined,Signed from,Market value
-,Pelly Ruddock Mpanzu,Defensive Midfield,22/03/1994 (31),DR Congo England,Cambridge United,"1,75m",right,28/01/2014,West Ham United U21,€1.00m
-,Tom Krauß,Central Midfield,22/06/2001 (24),Germany,1.FC Köln,"1,82m",right,22/08/2024,1.FSV Mainz 05,€4.00m
22,Lamine Fanne,Central Midfield,30/01/2004 (21),Spain Senegal,Luton Town,"1,87m",right,30/08/2024,AIK,€3.00m
26,Shandon Baptiste,Central Midfield,08/04/1998 (27),Grenada England,Luton Town,"1,80m",right,06/07/2024,Brentford FC,€2.00m
20,Liam Walsh,Central Midfield,15/09/1997 (27),England,Luton Town,"1,68m",right,20/08/2024,Swansea City,€500k
45,Alfie Doughty,Left Midfield,21/12/1999 (25),England,Millwall FC,"1,83m",left,01/07/2022,Stoke City,€6.50m
14,Tahith Chong,Attacking Midfield,04/12/1999 (25),Curacao Netherlands,Sheffield United,"1,85m",left,14/07/2023,Birmingham City,€5.00m
8,Thelo Aasgaard,Attacking Midfield,02/05/2002 (23),Norway England,Rangers FC,"1,88m",right,28/01/2025,Wigan Athletic,€2.00m
37,Zack Nelson,Attacking Midfield,21/04/2005 (20),England,Luton Town,"1,83m",,01/07/2024,Luton Town U21,€700k
18,Jordan Clark,Attacking Midfield,22/09/1993 (31),England,Luton Town,"1,83m",right,05/08/2020,Accrington Stanley,€600k
21,Millenic Alli,Left Winger,06/02/2000 (25),Ireland England,Luton Town,"1,76m",right,30/01/2025,Exeter City,€1.00m
-,Chiedozie Ogbene,Right Winger,01/05/1997 (28),Ireland Nigeria,Sheffield United,"1,81m",right,01/07/2023,Rotherham United,€7.00m
25,Isaiah Jones,Right Winger,26/06/1999 (26),Guyana England,Luton Town,"1,76m",right,10/01/2025,Middlesbrough FC,€3.50m
-,Josh Bowler,Right Winger,05/03/1999 (26),England,Blackpool FC,"1,84m",left,31/01/2025,Nottingham Forest,€1.00m
-,Andros Townsend,Right Winger,16/07/1991 (33),England,Kanchanaburi Power FC,"1,81m",left,11/10/2023,Without Club,€550k
7,Victor Moses,Right Winger,12/12/1990 (34),Nigeria England,Without Club,"1,77m",right,10/09/2024,Without Club,€500k
11,Elijah Adebayo,Centre-Forward,07/01/1998 (27),England Nigeria,Luton Town,"1,93m",,01/02/2021,Walsall FC,€6.50m
9,Carlton Morris,Centre-Forward,16/12/1995 (29),England,Derby County,"1,85m",right,06/07/2022,Barnsley FC,€5.50m
19,Jacob Brown,Centre-Forward,10/04/1998 (27),Scotland England,Luton Town,"1,78m",right,10/08/2023,Stoke City,€2.50m
44,Lasse Nordås,Centre-Forward,10/02/2002 (23),Norway,Luton Town,"1,94m",left,03/02/2025,Tromsø IL,€2.50m
-,Cauley Woodrow,Centre-Forward,02/12/1994 (30),England,Wycombe Wanderers,"1,84m",right,01/07/2022,Barnsley FC,€500k
-,Joe Taylor,Centre-Forward,18/11/2002 (22),Wales England,Huddersfield Town,"1,70m",right,31/01/2023,Peterborough United,€350k
-,Taylan Harris,Centre-Forward,30/10/2005 (19),England Türkiye,Tranmere Rovers,"1,81m",,,,-
-,Josh Phillips,Striker,17/08/2005 (19),England,Bedford Town,-,,,,-
