#,Player,Position,Date of birth/Age,Nat.,Current club,Height,Foot,Joined,Signed from,Market value
13,Nicolas Schmid,Goalkeeper,22/02/1997 (28),Austria,Portsmouth FC,"1,95m",both,21/08/2024,FC Blau-Weiss Linz,€1.00m
-,Owen Moxon,Central Midfield,17/01/1998 (27),England,Stockport County,"1,86m",right,01/02/2024,Carlisle United,€450k
7,Marlon Pack,Central Midfield,25/03/1991 (34),England,Portsmouth FC,"1,88m",right,01/07/2022,Cardiff City,€200k
-,Ben Stevenson,Central Midfield,23/03/1997 (28),England,Cheltenham Town,"1,82m",right,01/07/2023,Forest Green Rovers ,€175k
-,Tom Lowery,Central Midfield,31/12/1997 (27),England Wales,Kilmarnock FC,"1,68m",,05/08/2022,Crewe Alexandra,€175k
-,Reuben Swann,Central Midfield,26/01/2006 (19),England,Portsmouth FC,-,right,01/07/2024,AFC Sudbury,-
30,Matt Ritchie,Right Midfield,10/09/1989 (35),Scotland England,Reading FC,"1,73m",left,06/08/2024,Newcastle United,€300k
-,Adil Aouchiche,Attacking Midfield,15/07/2002 (22),France Algeria,Aberdeen FC,"1,81m",right,31/01/2025,Sunderland AFC,€1.50m
-,Harry Clout,Attacking Midfield,30/08/2006 (18),England,Welling United,-,,01/07/2025,Portsmouth FC U18,-
23,Josh Murphy,Left Winger,24/02/1995 (30),England Ireland,Portsmouth FC,"1,73m",right,01/07/2024,Oxford United,€1.00m
-,Sam Silvera,Left Winger,25/10/2000 (24),Australia England,Middlesbrough FC,"1,79m",right,01/07/2024,Middlesbrough FC,€800k
-,Elias Sørensen,Left Winger,18/09/1999 (25),Denmark,Vålerenga Fotball Elite,"1,89m",right,02/08/2024,Esbjerg fB,€700k
-,Anthony Scully,Left Winger,19/04/1999 (26),Ireland England,Shrewsbury Town,"1,73m",right,01/07/2023,Wigan Athletic,€175k
49,Callum Lang,Right Winger,08/09/1998 (26),England,Portsmouth FC,"1,83m",right,29/01/2024,Wigan Athletic,€2.80m
-,Kaide Gordon,Right Winger,05/10/2004 (20),England Jamaica,Liverpool FC U21,"1,73m",left,03/02/2025,Liverpool FC U21,€1.00m
32,Paddy Lane,Right Winger,18/02/2001 (24),Northern Ireland England,Reading FC,"1,77m",left,31/01/2023,Fleetwood Town,€700k
-,Gavin Whyte,Right Winger,31/01/1996 (29),Northern Ireland,Derry City,"1,70m",right,01/07/2023,Cardiff City,€350k
29,Harvey Blair,Right Winger,14/09/2003 (21),England Jamaica,Portsmouth FC,-,right,23/08/2024,Liverpool FC U21,€300k
9,Colby Bishop,Centre-Forward,04/11/1996 (28),England,Portsmouth FC,"1,80m",right,21/07/2022,Accrington Stanley,€1.50m
-,Mark O'Mahony,Centre-Forward,14/01/2005 (20),Ireland,Reading FC,"1,82m",right,28/08/2024,Brighton & Hove Albion U21,€500k
10,Kusini Yengi,Centre-Forward,15/01/1999 (26),Australia England,Aberdeen FC,"1,90m",right,02/07/2023,Western Sydney Wanderers,€500k
15,Christian Saydee,Centre-Forward,10/05/2002 (23),England Liberia,Wigan Athletic,"1,84m",right,01/07/2023,AFC Bournemouth,€400k
20,Thomas Waddingham,Centre-Forward,05/04/2005 (20),Australia England,Portsmouth FC,"1,85m",left,22/01/2025,Brisbane Roar,€400k
-,Olutayo Singerr,Centre-Forward,22/09/2007 (17),England,Moneyfields FC,-,,,,-
