#,Player,Position,Date of birth/Age,Nat.,Current club,Height,Foot,Joined,Signed from,Market value
-,Dara Costelloe,Left Winger,11/12/2002 (22),Ireland,Wigan Athletic,"1,75m",left,01/07/2022,Burnley FC U21,€450k
-,Tom Tweedy,Left Winger,15/09/2004 (20),Wales,Morecambe FC,"1,78m",left,,,-
22,Marcus Edwards,Right Winger,03/12/1998 (26),England Cyprus,Burnley FC,"1,68m",left,01/07/2025,Sporting CP,€12.00m
30,Luca Koleosho,Right Winger,15/09/2004 (20),Italy United States,RCD Espanyol Barcelona,"1,75m",right,25/07/2023,RCD Espanyol B,€12.00m
10,Benson Manuel,Right Winger,28/03/1997 (28),Angola Belgium,Swansea City,"1,66m",left,04/08/2022,Royal Antwerp FC,€3.50m
15,Nathan Redmond,Right Winger,06/03/1994 (31),England Jamaica,Without Club,"1,73m",right,21/07/2023,Besiktas JK,€1.50m
-,Jóhann Berg Gudmundsson,Right Winger,27/10/1990 (34),Iceland,Al-Dhafra FC,"1,86m",left,19/07/2016,Charlton Athletic,€600k
48,Enock Agyei,Right Winger,13/01/2005 (20),Belgium Ghana,Burnley FC,"1,72m",left,01/07/2024,Burnley FC U21,€600k
-,Zeki Amdouni,Centre-Forward,04/12/2000 (24),Switzerland Türkiye,Burnley FC,"1,85m",both,19/07/2023,FC Basel 1893,€12.00m
19,Zian Flemming,Centre-Forward,01/08/1998 (26),Netherlands,Burnley FC,"1,85m",right,01/07/2025,Millwall FC,€6.50m
17,Lyle Foster,Centre-Forward,03/09/2000 (24),South Africa,Burnley FC,"1,85m",right,25/01/2023,KVC Westerlo,€6.00m
-,Wout Weghorst,Centre-Forward,07/08/1992 (32),Netherlands,Ajax Amsterdam,"1,97m",right,31/01/2022,VfL Wolfsburg,€4.00m
-,Andréas Hountondji,Centre-Forward,11/07/2002 (22),Benin France,FC St. Pauli,"1,90m",right,17/07/2024,SM Caen,€2.50m
-,Michael Obafemi,Centre-Forward,06/07/2000 (24),Ireland Nigeria,VfL Bochum,"1,70m",right,01/07/2023,Swansea City,€1.70m
-,Jay Rodríguez,Centre-Forward,29/07/1989 (35),England Spain,Wrexham AFC,"1,85m",right,09/07/2019,West Bromwich Albion,€500k
35,Ashley Barnes,Centre-Forward,30/10/1989 (35),England,Burnley FC,"1,85m",right,02/01/2025,Norwich City,€250k
-,Joe Westley,Centre-Forward,18/10/2004 (20),England,Dundee FC,-,,,,€75k
-,Vernon Masara,Striker,18/04/2007 (18),England Zimbabwe,Burnley FC U21,-,,,,-
