#,Player,Position,Date of birth/Age,Nat.,Current club,Height,Foot,Joined,Signed from,Market value
-,Harry Murphy,Attacking Midfield,21/01/2004 (21),England Ireland,Without Club,-,right,,,-
14,Koki Saito,Left Winger,10/08/2001 (23),Japan,Queens Park Rangers,"1,70m",right,25/08/2025,Lommel SK,€4.00m
27,Daniel Bennie,Left Winger,13/04/2006 (19),Australia Hongkong,Queens Park Rangers,"1,81m",both,01/07/2024,Perth Glory,€250k
-,Emmerson Sutton,Left Winger,28/12/2006 (18),England,Morecambe FC,-,,,,€75k
47,Min-hyeok Yang,Right Winger,16/04/2006 (19),"Korea, South",Portsmouth FC,"1,76m",right,29/01/2025,Tottenham Hotspur,€3.50m
11,Paul Smyth,Right Winger,10/09/1997 (27),Northern Ireland,Queens Park Rangers,"1,75m",right,01/07/2023,Leyton Orient,€600k
-,Kieran Petrie,Right Winger,16/12/2004 (20),England Montserrat,Without Club,"1,73m",left,,,-
18,Zan Celar,Centre-Forward,14/03/1999 (26),Slovenia,Fortuna Düsseldorf,"1,86m",right,19/07/2024,FC Lugano,€4.00m
26,Rayan Kolli,Centre-Forward,10/02/2005 (20),Algeria England,Queens Park Rangers,"1,80m",right,01/07/2024,Queens Park Rangers U21,€1.50m
-,Lyndon Dykes,Centre-Forward,07/10/1995 (29),Scotland Australia,Birmingham City,"1,88m",right,19/08/2020,Livingston FC,€1.20m
12,Michael Frey,Centre-Forward,19/07/1994 (30),Switzerland,Queens Park Rangers,"1,88m",right,28/01/2024,Royal Antwerp FC,€800k
-,Charlie Kelman,Centre-Forward,02/11/2001 (23),United States England,Charlton Athletic,"1,80m",right,14/10/2020,Southend United,€650k
28,Alfie Lloyd,Centre-Forward,30/04/2003 (22),England,Leyton Orient,"1,80m",right,01/07/2024,Queens Park Rangers U21,€350k
